index,start_date,end_date
1,2015-01-01,2015-02-01
2,2015-02-01,2015-03-01
3,2015-03-01,2015-04-01
4,2015-04-01,2015-05-01
5,2015-05-01,2015-06-01
6,2015-06-01,2015-07-01
7,2015-07-01,2015-08-01
8,2015-08-01,2015-09-01
9,2015-09-01,2015-10-01
10,2015-10-01,2015-11-01
11,2015-11-01,2015-12-01
12,2015-12-01,2016-01-01
13,2016-01-01,2016-02-01
14,2016-02-01,2016-03-01
15,2016-03-01,2016-04-01
16,2016-04-01,2016-05-01
17,2016-05-01,2016-06-01
18,2016-06-01,2016-07-01
19,2016-07-01,2016-08-01
20,2016-08-01,2016-09-01
21,2016-09-01,2016-10-01
22,2016-10-01,2016-11-01
23,2016-11-01,2016-12-01
24,2016-12-01,2017-01-01
25,2017-01-01,2017-02-01
26,2017-02-01,2017-03-01
27,2017-03-01,2017-04-01
28,2017-04-01,2017-05-01
29,2017-05-01,2017-06-01
30,2017-06-01,2017-07-01
31,2017-07-01,2017-08-01
32,2017-08-01,2017-09-01
33,2017-09-01,2017-10-01
34,2017-10-01,2017-11-01
35,2017-11-01,2017-12-01
36,2017-12-01,2018-01-01
37,2018-01-01,2018-02-01
38,2018-02-01,2018-03-01
39,2018-03-01,2018-04-01
40,2018-04-01,2018-05-01
41,2018-05-01,2018-06-01
42,2018-06-01,2018-07-01
43,2018-07-01,2018-08-01
44,2018-08-01,2018-09-01
45,2018-09-01,2018-10-01
46,2018-10-01,2018-11-01
47,2018-11-01,2018-12-01
48,2018-12-01,2019-01-01
49,2019-01-01,2019-02-01
50,2019-02-01,2019-03-01
51,2019-03-01,2019-04-01
52,2019-04-01,2019-05-01
53,2019-05-01,2019-06-01
54,2019-06-01,2019-07-01
55,2019-07-01,2019-08-01
56,2019-08-01,2019-09-01
57,2019-09-01,2019-10-01
58,2019-10-01,2019-11-01
59,2019-11-01,2019-12-01
60,2019-12-01,2020-01-01
61,2020-01-01,2020-02-01
62,2020-02-01,2020-03-01
63,2020-03-01,2020-04-01
64,2020-04-01,2020-05-01
65,2020-05-01,2020-06-01
66,2020-06-01,2020-07-01
67,2020-07-01,2020-08-01
68,2020-08-01,2020-09-01
69,2020-09-01,2020-10-01
70,2020-10-01,2020-11-01
71,2020-11-01,2020-12-01
72,2020-12-01,2021-01-01
73,2021-01-01,2021-02-01
74,2021-02-01,2021-03-01
75,2021-03-01,2021-04-01
76,2021-04-01,2021-05-01
77,2021-05-01,2021-06-01
78,2021-06-01,2021-07-01
79,2021-07-01,2021-08-01
80,2021-08-01,2021-09-01
81,2021-09-01,2021-10-01
82,2021-10-01,2021-11-01
83,2021-11-01,2021-12-01
84,2021-12-01,2022-01-01
85,2022-01-01,2022-02-01
86,2022-02-01,2022-03-01
87,2022-03-01,2022-04-01
88,2022-04-01,2022-05-01
89,2022-05-01,2022-06-01
90,2022-06-01,2022-07-01
91,2022-07-01,2022-08-01
92,2022-08-01,2022-09-01
93,2022-09-01,2022-10-01
94,2022-10-01,2022-11-01
95,2022-11-01,2022-12-01
96,2022-12-01,2023-01-01
97,2023-01-01,2023-02-01
98,2023-02-01,2023-03-01
99,2023-03-01,2023-04-01
100,2023-04-01,2023-05-01
101,2023-05-01,2023-06-01
102,2023-06-01,2023-07-01
103,2023-07-01,2023-08-01
104,2023-08-01,2023-09-01
105,2023-09-01,2023-10-01
106,2023-10-01,2023-11-01
107,2023-11-01,2023-12-01
108,2023-12-01,2024-01-01
109,2024-01-01,2024-02-01
110,2024-02-01,2024-03-01
111,2024-03-01,2024-04-01
112,2024-04-01,2024-05-01
113,2024-05-01,2024-06-01
114,2024-06-01,2024-07-01
115,2024-07-01,2024-08-01
116,2024-08-01,2024-09-01
117,2024-09-01,2024-10-01
118,2024-10-01,2024-11-01
119,2024-11-01,2024-12-01
120,2024-12-01,2025-01-01
