iteration,bound,simulation_value,num_cuts_generated,wall_time_s,has_converged
1,1.3725021530010263e7,5.3397539793009505e7,9,6.578966856002808,false
2,6.56987785396727e7,1.0893134306832546e8,16,0.19649600982666016,false
3,6.61798597946405e7,2.7788435790325012e7,4,0.013990163803100586,false
4,6.617991913505742e7,1.3273209580000006e7,2,0.002750873565673828,false
5,6.61810367981263e7,6.5438603500000015e6,1,0.001878976821899414,false
6,6.6319674554663e7,1.3273531360103592e7,2,0.002529144287109375,false
7,6.633406655678797e7,5.807996818133136e7,8,0.008087873458862305,false
8,6.635894561059426e7,2.7780559905306585e7,4,0.005149126052856445,false
9,6.6500043138288766e7,1.9874672849212438e7,3,0.003459930419921875,false
10,6.6671388943301834e7,1.3158329973184988e7,2,0.002608060836791992,false
11,8.31417714791854e7,1.8338187409109157e8,17,0.014657974243164062,false
12,9.196147826671214e7,7.457122901966277e7,10,0.00912785530090332,false
13,9.209787655824693e7,3.368492219999999e6,1,0.001589059829711914,false
14,9.30893628452879e7,3.082282947954987e7,6,0.006208896636962891,false
15,9.31326061281381e7,1.1294662006286234e7,3,0.0031270980834960938,false
16,9.471444807686305e7,7.140176521828838e7,12,0.010626077651977539,false
17,9.47162533432321e7,2.735983829999998e6,1,0.0013060569763183594,false
18,9.52917647957728e7,2.5093264405956954e7,6,0.005445003509521484,false
19,9.821478789674604e7,3.412425023085372e7,9,0.008261919021606445,false
20,9.838312871841978e7,2.4218961277218297e7,9,0.008007049560546875,false
21,9.848734789395234e7,3.389006926001002e7,10,0.009109020233154297,false
22,9.927247053307605e7,1.5641493947522119e7,5,0.005548954010009766,false
23,9.958343278590743e7,1.0055584211152151e7,4,0.00423884391784668,false
24,1.0117978773671561e8,9.786252415437023e7,21,0.02049708366394043,false
25,1.0704755955631526e8,5.122838228667854e7,15,0.013106107711791992,false
26,1.071573691094751e8,7.04451169165118e6,3,0.0030059814453125,false
27,1.0792736461043383e8,4.273935392867188e7,9,0.009102821350097656,false
