iteration,bound,simulation_value,num_cuts_generated,wall_time_s,has_converged
1,1.3725021530010263e7,5.3397539793009505e7,9,6.522634983062744,false
2,6.579488899274832e7,1.0893134306832546e8,16,0.08952903747558594,false
3,6.628146016394073e7,2.7788435790325012e7,4,0.01376485824584961,false
4,6.6281518273348555e7,1.3273209580000006e7,2,0.0026891231536865234,false
5,6.628260653343127e7,6.5438603500000015e6,1,0.0017299652099609375,false
6,6.642915088102374e7,1.3273531360103592e7,2,0.0025849342346191406,false
7,6.6442227150553256e7,5.807995940937854e7,8,0.007925033569335938,false
8,6.64671220379235e7,2.7780560013687864e7,4,0.004651069641113281,false
9,6.660906344315539e7,1.9874672849212438e7,3,0.0035309791564941406,false
10,6.674041786980543e7,1.3158213093259417e7,2,0.0026869773864746094,false
11,8.31934925107631e7,1.8361615361109155e8,17,0.014755010604858398,false
12,9.201249771629499e7,7.45712290196628e7,10,0.008434057235717773,false
13,9.214886076387723e7,3.368492219999999e6,1,0.0015959739685058594,false
14,9.314048464340319e7,3.082770178616567e7,6,0.00610804557800293,false
15,9.318373288632242e7,1.1296379264229625e7,3,0.003265857696533203,false
16,9.48661865205277e7,7.140176569573772e7,12,0.010329961776733398,false
17,9.486821907981353e7,2.735983829999998e6,1,0.0013720989227294922,false
18,9.546893999905434e7,2.543138097704695e7,6,0.005624055862426758,false
19,9.830454657380033e7,3.4007314157191336e7,9,0.008411884307861328,false
20,9.84560557730537e7,2.4501940244917735e7,9,0.008208036422729492,false
21,9.847620309245504e7,3.882773066997388e7,10,0.009165048599243164,false
22,9.86242452493805e7,1.2429059791665345e7,5,0.005486965179443359,false
23,9.899962887332547e7,1.0106880412787259e7,4,0.004551887512207031,false
24,9.999794639729044e7,9.971947560846634e7,21,0.020940065383911133,false
25,1.0510991729478996e8,5.307178517659421e7,15,0.013978004455566406,false
26,1.0511635456540462e8,6.4276734215234965e6,3,0.003407001495361328,false
27,1.0707639924773213e8,3.436303547539729e7,9,0.009643077850341797,false
28,1.0847600785937896e8,3.020320898687105e7,9,0.009454011917114258,false
29,1.084770769631724e8,5.709875937613651e6,2,0.002440929412841797,false
30,1.0847913381756921e8,2.7456669880763933e7,9,0.009170055389404297,false
31,1.0863337741888653e8,9.674186116064174e7,22,0.023176908493041992,false
32,1.099526009122675e8,1.0968183785784373e8,28,0.027909040451049805,false
33,1.1011909336814037e8,1.2345138513132736e7,4,0.004545927047729492,false
34,1.1015373844706967e8,2.735983829999998e6,1,0.0016531944274902344,false
35,1.1015401018624999e8,2.735983829999998e6,1,0.0017359256744384766,false
36,1.1017313025910328e8,1.6201188790336251e7,6,0.006411075592041016,false
37,1.1026329117109135e8,1.108315466915001e7,4,0.004787921905517578,false
38,1.1026539724116687e8,2.973827829999998e6,1,0.0016760826110839844,false
39,1.1029878914701048e8,2.9726742025476173e7,9,0.009882926940917969,false
40,1.1059984033473721e8,5.028660195413835e7,16,0.015558004379272461,false
41,1.1060148506758155e8,9.603444392561093e6,3,0.0036749839782714844,false
42,1.1062725850597055e8,6.234840128637314e6,2,0.0026340484619140625,false
43,1.1063509506367603e8,1.1342758501017645e7,4,0.0046808719635009766,false
44,1.1065752827032356e8,6.234537441620797e6,2,0.002666950225830078,false
45,1.106805014807265e8,5.9806631677214205e6,2,0.0027611255645751953,false
46,1.106819296654071e8,5.709759077337295e6,2,0.002871990203857422,false
47,1.1070297008199514e8,5.997039679056361e6,2,0.002811908721923828,false
48,1.1071150933797747e8,1.297783054238452e7,4,0.004712104797363281,false
