iteration,node,total_cuts,active_cuts
1,1,1,1
1,2,1,1
1,3,1,1
1,4,1,1
1,5,1,1
1,6,1,1
1,7,1,1
1,8,1,1
1,9,1,1
1,10,0,0
1,11,0,0
1,12,0,0
2,1,3,1
2,2,3,1
2,3,3,1
2,4,3,1
2,5,2,1
2,6,2,1
2,7,2,1
2,8,2,1
2,9,2,1
2,10,1,1
2,11,1,1
2,12,1,1
3,1,4,2
3,2,4,2
3,3,4,2
3,4,4,2
3,5,2,1
3,6,2,1
3,7,2,1
3,8,2,1
3,9,2,1
3,10,1,1
3,11,1,1
3,12,1,1
4,1,5,3
4,2,5,3
4,3,4,2
4,4,4,2
4,5,2,1
4,6,2,1
4,7,2,1
4,8,2,1
4,9,2,1
4,10,1,1
4,11,1,1
4,12,1,1
5,1,6,4
5,2,5,3
5,3,4,2
5,4,4,2
5,5,2,1
5,6,2,1
5,7,2,1
5,8,2,1
5,9,2,1
5,10,1,1
5,11,1,1
5,12,1,1
6,1,7,4
6,2,6,4
6,3,4,2
6,4,4,2
6,5,2,1
6,6,2,1
6,7,2,1
6,8,2,1
6,9,2,1
6,10,1,1
6,11,1,1
6,12,1,1
7,1,8,3
7,2,7,4
7,3,5,3
7,4,5,3
7,5,3,2
7,6,3,2
7,7,3,2
7,8,3,2
7,9,2,1
7,10,1,1
7,11,1,1
7,12,1,1
8,1,9,4
8,2,8,5
8,3,6,4
8,4,6,4
8,5,3,2
8,6,3,2
8,7,3,2
8,8,3,2
8,9,2,1
8,10,1,1
8,11,1,1
8,12,1,1
9,1,10,2
9,2,9,4
9,3,7,5
9,4,6,4
9,5,3,2
9,6,3,2
9,7,3,2
9,8,3,2
9,9,2,1
9,10,1,1
9,11,1,1
9,12,1,1
10,1,11,3
10,2,10,5
10,3,7,5
10,4,6,4
10,5,3,2
10,6,3,2
10,7,3,2
10,8,3,2
10,9,2,1
10,10,1,1
10,11,1,1
10,12,1,1
11,1,13,1
11,2,12,1
11,3,9,1
11,4,8,1
11,5,5,1
11,6,4,1
11,7,4,1
11,8,4,1
11,9,3,1
11,10,2,1
11,11,2,1
11,12,2,1
12,1,14,2
12,2,13,2
12,3,10,2
12,4,9,2
12,5,6,2
12,6,5,2
12,7,5,2
12,8,5,2
12,9,4,2
12,10,3,2
12,11,2,1
12,12,2,1
13,1,15,3
13,2,13,2
13,3,10,2
13,4,9,2
13,5,6,2
13,6,5,2
13,7,5,2
13,8,5,2
13,9,4,2
13,10,3,2
13,11,2,1
13,12,2,1
14,1,16,3
14,2,14,3
14,3,11,3
14,4,10,3
14,5,7,3
14,6,6,3
14,7,5,2
14,8,5,2
14,9,4,2
14,10,3,2
14,11,2,1
14,12,2,1
15,1,17,3
15,2,15,4
15,3,12,4
15,4,10,3
15,5,7,3
15,6,6,3
15,7,5,2
15,8,5,2
15,9,4,2
15,10,3,2
15,11,2,1
15,12,2,1
16,1,18,3
16,2,16,3
16,3,13,3
16,4,11,3
16,5,8,3
16,6,7,3
16,7,6,3
16,8,6,3
16,9,5,2
16,10,4,1
16,11,3,1
16,12,3,1
17,1,19,4
17,2,16,3
17,3,13,3
17,4,11,3
17,5,8,3
17,6,7,3
17,7,6,3
17,8,6,3
17,9,5,2
17,10,4,1
17,11,3,1
17,12,3,1
18,1,20,3
18,2,17,2
18,3,14,3
18,4,12,4
18,5,9,4
18,6,8,4
18,7,6,3
18,8,6,3
18,9,5,2
18,10,4,1
18,11,3,1
18,12,3,1
19,1,21,2
19,2,18,2
19,3,15,2
19,4,13,3
19,5,10,2
19,6,9,2
19,7,7,3
19,8,7,3
19,9,6,3
19,10,4,1
19,11,3,1
19,12,3,1
20,1,22,3
20,2,19,3
20,3,16,3
20,4,14,4
20,5,11,3
20,6,10,2
20,7,8,2
20,8,8,4
20,9,7,4
20,10,4,1
20,11,3,1
20,12,3,1
21,1,23,3
21,2,20,4
21,3,17,4
21,4,15,4
21,5,12,3
21,6,11,3
21,7,9,2
21,8,9,4
21,9,8,4
21,10,5,2
21,11,3,1
21,12,3,1
22,1,24,2
22,2,21,3
22,3,18,3
22,4,16,5
22,5,13,4
22,6,11,3
22,7,9,2
22,8,9,4
22,9,8,4
22,10,5,2
22,11,3,1
22,12,3,1
23,1,25,2
23,2,22,4
23,3,19,4
23,4,17,6
23,5,13,4
23,6,11,3
23,7,9,2
23,8,9,4
23,9,8,4
23,10,5,2
23,11,3,1
23,12,3,1
24,1,27,3
24,2,24,5
24,3,21,4
24,4,19,3
24,5,15,3
24,6,13,4
24,7,11,4
24,8,11,6
24,9,10,6
24,10,6,3
24,11,4,2
24,12,4,1
25,1,29,2
25,2,26,2
25,3,23,2
25,4,20,2
25,5,16,2
25,6,14,2
25,7,12,2
25,8,12,2
25,9,11,3
25,10,7,1
25,11,5,1
25,12,5,1
26,1,30,3
26,2,27,3
26,3,24,3
26,4,20,2
26,5,16,2
26,6,14,2
26,7,12,2
26,8,12,2
26,9,11,3
26,10,7,1
26,11,5,1
26,12,5,1
27,1,31,3
27,2,28,3
27,3,25,3
27,4,21,2
27,5,17,3
27,6,15,3
27,7,13,3
27,8,13,3
27,9,12,4
27,10,7,1
27,11,5,1
27,12,5,1
28,1,32,2
28,2,29,3
28,3,26,4
28,4,22,3
28,5,18,4
28,6,16,4
28,7,14,4
28,8,14,4
28,9,13,5
28,10,7,1
28,11,5,1
28,12,5,1
29,1,33,3
29,2,30,4
29,3,26,4
29,4,22,3
29,5,18,4
29,6,16,4
29,7,14,4
29,8,14,4
29,9,13,5
29,10,7,1
29,11,5,1
29,12,5,1
30,1,34,4
30,2,31,4
30,3,27,5
30,4,23,4
30,5,19,5
30,6,17,5
30,7,15,5
30,8,15,5
30,9,14,6
30,10,7,1
30,11,5,1
30,12,5,1
31,1,36,1
31,2,33,2
31,3,29,4
31,4,25,3
31,5,21,4
31,6,19,3
31,7,17,5
31,8,17,5
31,9,16,6
31,10,9,2
31,11,6,2
31,12,6,1
32,1,39,3
32,2,36,3
32,3,32,4
32,4,28,4
32,5,23,3
32,6,21,2
32,7,19,2
32,8,19,4
32,9,18,4
32,10,11,3
32,11,8,2
32,12,8,2
33,1,40,2
33,2,37,3
33,3,33,3
33,4,29,4
33,5,23,3
33,6,21,2
33,7,19,2
33,8,19,4
33,9,18,4
33,10,11,3
33,11,8,2
33,12,8,2
34,1,41,3
34,2,37,3
34,3,33,3
34,4,29,4
34,5,23,3
34,6,21,2
34,7,19,2
34,8,19,4
34,9,18,4
34,10,11,3
34,11,8,2
34,12,8,2
35,1,42,4
35,2,37,3
35,3,33,3
35,4,29,4
35,5,23,3
35,6,21,2
35,7,19,2
35,8,19,4
35,9,18,4
35,10,11,3
35,11,8,2
35,12,8,2
36,1,43,3
36,2,38,3
36,3,34,3
36,4,30,4
36,5,24,3
36,6,22,3
36,7,19,2
36,8,19,4
36,9,18,4
36,10,11,3
36,11,8,2
36,12,8,2
37,1,44,4
37,2,39,4
37,3,35,4
37,4,31,5
37,5,24,3
37,6,22,3
37,7,19,2
37,8,19,4
37,9,18,4
37,10,11,3
37,11,8,2
37,12,8,2
38,1,45,5
38,2,39,4
38,3,35,4
38,4,31,5
38,5,24,3
38,6,22,3
38,7,19,2
38,8,19,4
38,9,18,4
38,10,11,3
38,11,8,2
38,12,8,2
39,1,46,6
39,2,40,5
39,3,36,5
39,4,32,6
39,5,25,4
39,6,23,4
39,7,20,3
39,8,20,5
39,9,19,5
39,10,11,3
39,11,8,2
39,12,8,2
40,1,48,7
40,2,42,7
40,3,38,7
40,4,34,8
40,5,26,5
40,6,24,4
40,7,21,4
40,8,21,6
40,9,20,6
40,10,12,4
40,11,9,3
40,12,9,3
41,1,49,6
41,2,43,7
41,3,39,7
41,4,34,8
41,5,26,5
41,6,24,4
41,7,21,4
41,8,21,6
41,9,20,6
41,10,12,4
41,11,9,3
41,12,9,3
42,1,50,5
42,2,44,7
42,3,39,7
42,4,34,8
42,5,26,5
42,6,24,4
42,7,21,4
42,8,21,6
42,9,20,6
42,10,12,4
42,11,9,3
42,12,9,3
43,1,51,5
43,2,45,7
43,3,40,8
43,4,35,9
43,5,26,5
43,6,24,4
43,7,21,4
43,8,21,6
43,9,20,6
43,10,12,4
43,11,9,3
43,12,9,3
44,1,52,6
44,2,46,8
44,3,40,8
44,4,35,9
44,5,26,5
44,6,24,4
44,7,21,4
44,8,21,6
44,9,20,6
44,10,12,4
44,11,9,3
44,12,9,3
45,1,53,6
45,2,47,9
45,3,40,8
45,4,35,9
45,5,26,5
45,6,24,4
45,7,21,4
45,8,21,6
45,9,20,6
45,10,12,4
45,11,9,3
45,12,9,3
46,1,54,6
46,2,48,10
46,3,40,8
46,4,35,9
46,5,26,5
46,6,24,4
46,7,21,4
46,8,21,6
46,9,20,6
46,10,12,4
46,11,9,3
46,12,9,3
47,1,55,6
47,2,49,11
47,3,40,8
47,4,35,9
47,5,26,5
47,6,24,4
47,7,21,4
47,8,21,6
47,9,20,6
47,10,12,4
47,11,9,3
47,12,9,3
48,1,56,6
48,2,50,12
48,3,41,9
48,4,36,9
48,5,26,5
48,6,24,4
48,7,21,4
48,8,21,6
48,9,20,6
48,10,12,4
48,11,9,3
48,12,9,3
49,1,57,7
49,2,51,12
49,3,42,9
49,4,37,8
49,5,27,6
49,6,24,4
49,7,21,4
49,8,21,6
49,9,20,6
49,10,12,4
49,11,9,3
49,12,9,3
50,1,59,9
50,2,53,14
50,3,44,11
50,4,39,10
50,5,29,8
50,6,25,5
50,7,22,5
50,8,22,5
50,9,21,5
50,10,13,4
50,11,10,3
50,12,10,4
51,1,62,2
51,2,56,2
51,3,47,5
51,4,41,6
51,5,31,7
51,6,27,6
51,7,24,5
51,8,24,5
51,9,23,5
51,10,15,3
51,11,12,3
51,12,12,3
52,1,64,4
52,2,58,4
52,3,49,7
52,4,42,6
52,5,32,5
52,6,28,5
52,7,25,4
52,8,25,4
52,9,24,3
52,10,16,2
52,11,13,2
52,12,13,2
53,1,65,5
53,2,58,4
53,3,49,7
53,4,42,6
53,5,32,5
53,6,28,5
53,7,25,4
53,8,25,4
53,9,24,3
53,10,16,2
53,11,13,2
53,12,13,2
54,1,66,6
54,2,59,5
54,3,50,8
54,4,43,7
54,5,33,4
54,6,29,4
54,7,26,5
54,8,25,4
54,9,24,3
54,10,16,2
54,11,13,2
54,12,13,2
55,1,68,7
55,2,61,6
55,3,51,6
55,4,44,4
55,5,34,3
55,6,30,3
55,7,27,3
55,8,26,4
55,9,25,4
55,10,17,3
55,11,14,3
55,12,14,3
56,1,71,3
56,2,64,4
56,3,54,7
56,4,47,5
56,5,37,5
56,6,33,6
56,7,30,5
56,8,29,7
56,9,28,6
56,10,20,5
56,11,17,5
56,12,16,4
57,1,72,4
57,2,65,5
57,3,55,8
57,4,48,6
57,5,38,5
57,6,34,6
57,7,31,6
57,8,30,8
57,9,28,6
57,10,20,5
57,11,17,5
57,12,16,4
58,1,73,5
58,2,66,6
58,3,56,9
58,4,48,6
58,5,38,5
58,6,34,6
58,7,31,6
58,8,30,8
58,9,28,6
58,10,20,5
58,11,17,5
58,12,16,4
59,1,75,7
59,2,68,7
59,3,58,11
59,4,49,6
59,5,39,6
59,6,35,6
59,7,32,7
59,8,31,7
59,9,29,6
59,10,21,5
59,11,18,6
59,12,17,4
60,1,76,6
60,2,69,7
60,3,59,12
60,4,50,7
60,5,40,6
60,6,36,6
60,7,33,8
60,8,32,8
60,9,30,7
60,10,21,5
60,11,18,6
60,12,17,4
61,1,78,4
61,2,71,7
61,3,61,9
61,4,52,7
61,5,42,7
61,6,37,6
61,7,34,7
61,8,33,9
61,9,31,8
61,10,22,6
61,11,19,6
61,12,18,5
62,1,79,5
62,2,72,8
62,3,61,9
62,4,52,7
62,5,42,7
62,6,37,6
62,7,34,7
62,8,33,9
62,9,31,8
62,10,22,6
62,11,19,6
62,12,18,5
63,1,80,6
63,2,73,9
63,3,62,9
63,4,53,8
63,5,43,6
63,6,38,7
63,7,35,7
63,8,34,9
63,9,32,8
63,10,23,6
63,11,20,5
63,12,18,5
64,1,85,4
64,2,77,8
64,3,66,7
64,4,57,10
64,5,47,7
64,6,42,7
64,7,39,8
64,8,38,9
64,9,36,7
64,10,27,6
64,11,24,3
64,12,22,4
65,1,88,6
65,2,80,11
65,3,69,10
65,4,60,10
65,5,50,7
65,6,44,8
65,7,41,9
65,8,40,10
65,9,38,9
65,10,29,7
65,11,26,3
65,12,24,4
66,1,90,8
66,2,82,12
66,3,71,11
66,4,62,10
66,5,52,8
66,6,45,6
66,7,42,5
66,8,41,5
66,9,39,6
66,10,30,8
66,11,27,4
66,12,25,3
67,1,92,8
67,2,83,10
67,3,72,10
67,4,63,10
67,5,53,7
