iteration,node,total_cuts,active_cuts
1,1,1,1
1,2,1,1
1,3,1,1
1,4,1,1
1,5,1,1
1,6,1,1
1,7,1,1
1,8,1,1
1,9,1,1
1,10,0,0
1,11,0,0
1,12,0,0
2,1,3,3
2,2,3,3
2,3,3,3
2,4,3,3
2,5,2,2
2,6,2,2
2,7,2,2
2,8,2,2
2,9,2,2
2,10,1,1
2,11,1,1
2,12,1,1
3,1,4,4
3,2,4,4
3,3,4,4
3,4,4,4
3,5,2,2
3,6,2,2
3,7,2,2
3,8,2,2
3,9,2,2
3,10,1,1
3,11,1,1
3,12,1,1
4,1,5,5
4,2,5,5
4,3,4,4
4,4,4,4
4,5,2,2
4,6,2,2
4,7,2,2
4,8,2,2
4,9,2,2
4,10,1,1
4,11,1,1
4,12,1,1
5,1,6,6
5,2,5,5
5,3,4,4
5,4,4,4
5,5,2,2
5,6,2,2
5,7,2,2
5,8,2,2
5,9,2,2
5,10,1,1
5,11,1,1
5,12,1,1
6,1,7,7
6,2,6,6
6,3,4,4
6,4,4,4
6,5,2,2
6,6,2,2
6,7,2,2
6,8,2,2
6,9,2,2
6,10,1,1
6,11,1,1
6,12,1,1
7,1,8,8
7,2,7,7
7,3,5,5
7,4,5,5
7,5,3,3
7,6,3,3
7,7,3,3
7,8,3,3
7,9,2,2
7,10,1,1
7,11,1,1
7,12,1,1
8,1,9,9
8,2,8,8
8,3,6,6
8,4,6,6
8,5,3,3
8,6,3,3
8,7,3,3
8,8,3,3
8,9,2,2
8,10,1,1
8,11,1,1
8,12,1,1
9,1,10,10
9,2,9,9
9,3,7,7
9,4,6,6
9,5,3,3
9,6,3,3
9,7,3,3
9,8,3,3
9,9,2,2
9,10,1,1
9,11,1,1
9,12,1,1
10,1,11,11
10,2,10,10
10,3,7,7
10,4,6,6
10,5,3,3
10,6,3,3
10,7,3,3
10,8,3,3
10,9,2,2
10,10,1,1
10,11,1,1
10,12,1,1
11,1,13,13
11,2,12,12
11,3,9,9
11,4,8,8
11,5,5,5
11,6,4,4
11,7,4,4
11,8,4,4
11,9,3,3
11,10,2,2
11,11,2,2
11,12,2,2
12,1,14,14
12,2,13,13
12,3,10,10
12,4,9,9
12,5,6,6
12,6,5,5
12,7,5,5
12,8,5,5
12,9,4,4
12,10,3,3
12,11,2,2
12,12,2,2
13,1,15,15
13,2,13,13
13,3,10,10
13,4,9,9
13,5,6,6
13,6,5,5
13,7,5,5
13,8,5,5
13,9,4,4
13,10,3,3
13,11,2,2
13,12,2,2
14,1,16,16
14,2,14,14
14,3,11,11
14,4,10,10
14,5,7,7
14,6,6,6
14,7,5,5
14,8,5,5
14,9,4,4
14,10,3,3
14,11,2,2
14,12,2,2
15,1,17,17
15,2,15,15
15,3,12,12
15,4,10,10
15,5,7,7
15,6,6,6
15,7,5,5
15,8,5,5
15,9,4,4
15,10,3,3
15,11,2,2
15,12,2,2
16,1,18,18
16,2,16,16
16,3,13,13
16,4,11,11
16,5,8,8
16,6,7,7
16,7,6,6
16,8,6,6
16,9,5,5
16,10,4,4
16,11,3,3
16,12,3,3
17,1,19,19
17,2,16,16
17,3,13,13
17,4,11,11
17,5,8,8
17,6,7,7
17,7,6,6
17,8,6,6
17,9,5,5
17,10,4,4
17,11,3,3
17,12,3,3
18,1,20,20
18,2,17,17
18,3,14,14
18,4,12,12
18,5,9,9
18,6,8,8
18,7,6,6
18,8,6,6
18,9,5,5
18,10,4,4
18,11,3,3
18,12,3,3
19,1,21,21
19,2,18,18
19,3,15,15
19,4,13,13
19,5,10,10
19,6,9,9
19,7,7,7
19,8,7,7
19,9,6,6
19,10,4,4
19,11,3,3
19,12,3,3
20,1,22,22
20,2,19,19
20,3,16,16
20,4,14,14
20,5,11,11
20,6,10,10
20,7,8,8
20,8,8,8
20,9,7,7
20,10,4,4
20,11,3,3
20,12,3,3
21,1,23,23
21,2,20,20
21,3,17,17
21,4,15,15
21,5,12,12
21,6,11,11
21,7,9,9
21,8,9,9
21,9,8,8
21,10,5,5
21,11,3,3
21,12,3,3
22,1,24,24
22,2,21,21
22,3,18,18
22,4,16,16
22,5,13,13
22,6,11,11
22,7,9,9
22,8,9,9
22,9,8,8
22,10,5,5
22,11,3,3
22,12,3,3
23,1,25,25
23,2,22,22
23,3,19,19
23,4,17,17
23,5,13,13
23,6,11,11
23,7,9,9
23,8,9,9
23,9,8,8
23,10,5,5
23,11,3,3
23,12,3,3
24,1,27,27
24,2,24,24
24,3,21,21
24,4,19,19
24,5,15,15
24,6,13,13
24,7,11,11
24,8,11,11
24,9,10,10
24,10,6,6
24,11,4,4
24,12,4,4
25,1,29,29
25,2,26,26
25,3,23,23
25,4,20,20
25,5,16,16
25,6,14,14
25,7,12,12
25,8,12,12
25,9,11,11
25,10,7,7
25,11,5,5
25,12,5,5
26,1,30,30
26,2,27,27
26,3,24,24
26,4,20,20
26,5,16,16
26,6,14,14
26,7,12,12
26,8,12,12
26,9,11,11
26,10,7,7
26,11,5,5
26,12,5,5
27,1,31,31
27,2,28,28
27,3,25,25
27,4,21,21
27,5,17,17
27,6,15,15
27,7,13,13
27,8,13,13
27,9,12,12
27,10,7,7
27,11,5,5
27,12,5,5
28,1,32,32
28,2,29,29
28,3,26,26
28,4,22,22
28,5,18,18
28,6,16,16
28,7,14,14
28,8,14,14
28,9,13,13
28,10,7,7
28,11,5,5
28,12,5,5
29,1,33,33
29,2,30,30
29,3,26,26
29,4,22,22
29,5,18,18
29,6,16,16
29,7,14,14
29,8,14,14
29,9,13,13
29,10,7,7
29,11,5,5
29,12,5,5
30,1,34,34
30,2,31,31
30,3,27,27
30,4,23,23
30,5,19,19
30,6,17,17
30,7,15,15
30,8,15,15
30,9,14,14
30,10,7,7
30,11,5,5
30,12,5,5
31,1,36,36
31,2,33,33
31,3,29,29
31,4,25,25
31,5,21,21
31,6,19,19
31,7,17,17
31,8,17,17
31,9,16,16
31,10,9,9
31,11,6,6
31,12,6,6
32,1,39,39
32,2,36,36
32,3,32,32
32,4,28,28
32,5,23,23
32,6,21,21
32,7,19,19
32,8,19,19
32,9,18,18
32,10,11,11
32,11,8,8
32,12,8,8
33,1,40,40
33,2,37,37
33,3,33,33
33,4,29,29
33,5,23,23
33,6,21,21
33,7,19,19
33,8,19,19
33,9,18,18
33,10,11,11
33,11,8,8
33,12,8,8
34,1,41,41
34,2,37,37
34,3,33,33
34,4,29,29
34,5,23,23
34,6,21,21
34,7,19,19
34,8,19,19
34,9,18,18
34,10,11,11
34,11,8,8
34,12,8,8
35,1,42,42
35,2,37,37
35,3,33,33
35,4,29,29
35,5,23,23
35,6,21,21
35,7,19,19
35,8,19,19
35,9,18,18
35,10,11,11
35,11,8,8
35,12,8,8
36,1,43,43
36,2,38,38
36,3,34,34
36,4,30,30
36,5,24,24
36,6,22,22
36,7,19,19
36,8,19,19
36,9,18,18
36,10,11,11
36,11,8,8
36,12,8,8
37,1,44,44
37,2,39,39
37,3,35,35
37,4,31,31
37,5,24,24
37,6,22,22
37,7,19,19
37,8,19,19
37,9,18,18
37,10,11,11
37,11,8,8
37,12,8,8
38,1,45,45
38,2,39,39
38,3,35,35
38,4,31,31
38,5,24,24
38,6,22,22
38,7,19,19
38,8,19,19
38,9,18,18
38,10,11,11
38,11,8,8
38,12,8,8
39,1,46,46
39,2,40,40
39,3,36,36
39,4,32,32
39,5,25,25
39,6,23,23
39,7,20,20
39,8,20,20
39,9,19,19
39,10,11,11
39,11,8,8
39,12,8,8
40,1,48,48
40,2,42,42
40,3,38,38
40,4,34,34
40,5,26,26
40,6,24,24
40,7,21,21
40,8,21,21
40,9,20,20
40,10,12,12
40,11,9,9
40,12,9,9
41,1,49,49
41,2,43,43
41,3,39,39
41,4,34,34
41,5,26,26
41,6,24,24
41,7,21,21
41,8,21,21
41,9,20,20
41,10,12,12
41,11,9,9
41,12,9,9
42,1,50,50
42,2,44,44
42,3,39,39
42,4,34,34
42,5,26,26
42,6,24,24
42,7,21,21
42,8,21,21
42,9,20,20
42,10,12,12
42,11,9,9
42,12,9,9
43,1,51,51
43,2,45,45
43,3,40,40
43,4,35,35
43,5,26,26
43,6,24,24
43,7,21,21
43,8,21,21
43,9,20,20
43,10,12,12
43,11,9,9
43,12,9,9
44,1,52,52
44,2,46,46
44,3,40,40
44,4,35,35
44,5,26,26
44,6,24,24
44,7,21,21
44,8,21,21
44,9,20,20
44,10,12,12
44,11,9,9
44,12,9,9
45,1,53,53
45,2,47,47
45,3,40,40
45,4,35,35
45,5,26,26
45,6,24,24
45,7,21,21
45,8,21,21
45,9,20,20
45,10,12,12
45,11,9,9
45,12,9,9
46,1,54,54
46,2,48,48
46,3,40,40
46,4,35,35
46,5,26,26
46,6,24,24
46,7,21,21
46,8,21,21
46,9,20,20
46,10,12,12
46,11,9,9
46,12,9,9
47,1,55,55
47,2,49,49
47,3,40,40
47,4,35,35
47,5,26,26
47,6,24,24
47,7,21,21
47,8,21,21
47,9,20,20
47,10,12,12
47,11,9,9
47,12,9,9
48,1,56,56
48,2,50,50
48,3,41,41
48,4,36,36
48,5,26,26
48,6,24,24
48,7,21,21
48,8,21,21
48,9,20,20
48,10,12,12
48,11,9,9
48,12,9,9
49,1,57,57
49,2,51,51
49,3,42,42
49,4,37,37
49,5,27,27
49,6,24,24
49,7,21,21
49,8,21,21
49,9,20,20
49,10,12,12
49,11,9,9
49,12,9,9
50,1,59,59
50,2,53,53
50,3,44,44
50,4,39,39
50,5,29,29
50,6,25,25
50,7,22,22
50,8,22,22
50,9,21,21
50,10,13,13
50,11,10,10
50,12,10,10
51,1,62,62
51,2,56,56
51,3,47,47
51,4,41,41
51,5,31,31
51,6,27,27
51,7,24,24
51,8,24,24
51,9,23,23
51,10,15,15
51,11,12,12
51,12,12,12
52,1,64,64
52,2,58,58
52,3,49,49
52,4,42,42
52,5,32,32
52,6,28,28
52,7,25,25
52,8,25,25
52,9,24,24
52,10,16,16
52,11,13,13
52,12,13,13
53,1,65,65
53,2,58,58
53,3,49,49
53,4,42,42
53,5,32,32
53,6,28,28
53,7,25,25
53,8,25,25
53,9,24,24
53,10,16,16
53,11,13,13
53,12,13,13
54,1,66,66
54,2,59,59
54,3,50,50
54,4,43,43
54,5,33,33
54,6,29,29
54,7,26,26
54,8,25,25
54,9,24,24
54,10,16,16
54,11,13,13
54,12,13,13
55,1,68,68
55,2,61,61
55,3,51,51
55,4,44,44
55,5,34,34
55,6,30,30
55,7,27,27
55,8,26,26
55,9,25,25
55,10,17,17
55,11,14,14
55,12,14,14
56,1,71,71
56,2,64,64
56,3,54,54
56,4,47,47
56,5,37,37
56,6,33,33
56,7,30,30
56,8,29,29
56,9,28,28
56,10,20,20
56,11,17,17
56,12,16,16
57,1,72,72
57,2,65,65
57,3,55,55
57,4,48,48
57,5,38,38
57,6,34,34
57,7,31,31
57,8,30,30
57,9,28,28
57,10,20,20
57,11,17,17
57,12,16,16
58,1,73,73
58,2,66,66
58,3,56,56
58,4,48,48
58,5,38,38
58,6,34,34
58,7,31,31
58,8,30,30
58,9,28,28
58,10,20,20
58,11,17,17
58,12,16,16
59,1,75,75
59,2,68,68
59,3,58,58
59,4,49,49
59,5,39,39
59,6,35,35
59,7,32,32
59,8,31,31
59,9,29,29
59,10,21,21
59,11,18,18
59,12,17,17
60,1,76,76
60,2,69,69
60,3,59,59
60,4,50,50
60,5,40,40
60,6,36,36
60,7,33,33
60,8,32,32
60,9,30,30
60,10,21,21
60,11,18,18
60,12,17,17
61,1,78,78
61,2,71,71
61,3,61,61
61,4,52,52
61,5,42,42
61,6,37,37
61,7,34,34
61,8,33,33
61,9,31,31
61,10,22,22
61,11,19,19
61,12,18,18
62,1,79,79
62,2,72,72
62,3,61,61
62,4,52,52
62,5,42,42
62,6,37,37
62,7,34,34
62,8,33,33
62,9,31,31
62,10,22,22
62,11,19,19
62,12,18,18
63,1,80,80
63,2,73,73
63,3,62,62
63,4,53,53
63,5,43,43
63,6,38,38
63,7,35,35
63,8,34,34
63,9,32,32
63,10,23,23
63,11,20,20
63,12,18,18
64,1,85,85
64,2,77,77
64,3,66,66
64,4,57,57
64,5,47,47
64,6,42,42
64,7,39,39
64,8,38,38
64,9,36,36
64,10,27,27
64,11,24,24
64,12,22,22
65,1,88,88
65,2,80,80
65,3,69,69
65,4,60,60
65,5,50,50
65,6,44,44
65,7,41,41
65,8,40,40
65,9,38,38
65,10,29,29
65,11,26,26
65,12,24,24
66,1,90,90
66,2,82,82
66,3,71,71
66,4,62,62
66,5,52,52
66,6,45,45
66,7,42,42
66,8,41,41
66,9,39,39
66,10,30,30
66,11,27,27
66,12,25,25
67,1,92,92
67,2,83,83
67,3,72,72
67,4,63,63
67,5,53,53
